scalerank	featurecla	labelrank	sovereignt	sov_a3	adm0_dif	level	type	admin	adm0_a3	geou_dif	geounit	gu_a3	su_dif	subunit	su_a3	brk_diff	name	name_long	brk_a3	brk_name	brk_group	abbrev	postal	formal_en	formal_fr	note_adm0	note_brk	name_sort	name_alt	mapcolor7	mapcolor8	mapcolor9	mapcolor13	pop_est	gdp_md_est	pop_year	lastcensus	gdp_year	economy	income_grp	wikipedia	fips_10	iso_a2	iso_a3	iso_n3	un_a3	wb_a2	wb_a3	woe_id	adm0_a3_is	adm0_a3_us	adm0_a3_un	adm0_a3_wb	continent	region_un	subregion	region_wb	name_len	long_len	abbrev_len	tiny	homepart	day0	day1	day2	day3	day4	day5	day6	day7	day8	day9
3	Admin-0 country	6	Finland	FI1	1	2	Country	Aland	ALD	0	Aland	ALD	0	Aland	ALD	0	Aland	Aland Islands	ALD	Aland		Aland	AI	Åland Islands		Fin.		Aland		4	1	4	6	27153	1563.0	-99	-99	-99	2. Developed region: nonG7	1. High income: OECD	-99		AX	ALA	248	248	-99	-99	-99	ALA	ALD	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	5	13	5	5	-99	#bc2997	#c851ae	#cb0137	#e3bd84	#c57b39	#8adefb	#ea338a	#4f0509	#769f34	#e63294
1	Admin-0 country	6	Albania	ALB	0	2	Sovereign country	Albania	ALB	0	Albania	ALB	0	Albania	ALB	0	Albania	Albania	ALB	Albania		Alb.	AL	Republic of Albania				Albania		1	4	1	6	3639453	21810.0	-99	2001	-99	6. Developing region	4. Lower middle income	-99		AL	ALB	8	8	AL	ALB	-99	ALB	ALB	-99	-99	Europe	Europe	Southern Europe	Europe & Central Asia	7	7	4	-99	1	#9f1a1b	#f01408	#c7d4e9	#b91a42	#676372	#e6bb68	#8aa1da	#920ec9	#d68cad	#46990a
3	Admin-0 country	6	Andorra	AND	0	2	Sovereign country	Andorra	AND	0	Andorra	AND	0	Andorra	AND	0	Andorra	Andorra	AND	Andorra		And.	AND	Principality of Andorra				Andorra		1	4	1	8	83888	3660.0	-99	1989	-99	2. Developed region: nonG7	2. High income: nonOECD	-99		AD	AND	20	20	AD	ADO	-99	AND	AND	-99	-99	Europe	Europe	Southern Europe	Europe & Central Asia	7	7	4	5	1	#ae7bc7	#8ef584	#af3bf4	#e28b01	#eccca4	#ba402	#a26857	#cc3465	#d113c	#1b35c5
1	Admin-0 country	4	United Arab Emirates	ARE	0	2	Sovereign country	United Arab Emirates	ARE	0	United Arab Emirates	ARE	0	United Arab Emirates	ARE	0	United Arab Emirates	United Arab Emirates	ARE	United Arab Emirates		U.A.E.	AE	United Arab Emirates				United Arab Emirates		2	1	3	3	4798491	184300.0	-99	2010	-99	6. Developing region	2. High income: nonOECD	-99		AE	ARE	784	784	AE	ARE	-99	ARE	ARE	-99	-99	Asia	Asia	Western Asia	Middle East & North Africa	20	20	6	-99	1	#2c9162	#31aa1c	#3e9719	#f7f4e0	#d25a8	#545cdf	#dcc08a	#ab47d4	#2396a0	#36cc56
1	Admin-0 country	2	Argentina	ARG	0	2	Sovereign country	Argentina	ARG	0	Argentina	ARG	0	Argentina	ARG	0	Argentina	Argentina	ARG	Argentina		Arg.	AR	Argentine Republic				Argentina		3	1	3	13	40913584	573900.0	-99	2010	-99	5. Emerging region: G20	3. Upper middle income	-99		AR	ARG	32	32	AR	ARG	-99	ARG	ARG	-99	-99	South America	Americas	South America	Latin America & Caribbean	9	9	4	-99	1	#3976bf	#558340	#236d3b	#16eadd	#5aaf49	#9d6f1f	#a6e030	#6450fd	#4e0e65	#d92b58
1	Admin-0 country	6	Armenia	ARM	0	2	Sovereign country	Armenia	ARM	0	Armenia	ARM	0	Armenia	ARM	0	Armenia	Armenia	ARM	Armenia		Arm.	ARM	Republic of Armenia				Armenia		3	1	2	10	2967004	18770.0	-99	2001	-99	6. Developing region	4. Lower middle income	-99		AM	ARM	51	51	AM	ARM	-99	ARM	ARM	-99	-99	Asia	Asia	Western Asia	Europe & Central Asia	7	7	4	-99	1	#c6ca8c	#bb32db	#490ce9	#190bac	#a52e27	#606cbc	#c2d22d	#14aec7	#10eee2	#455e6b
3	Admin-0 country	4	United States of America	US1	1	2	Dependency	American Samoa	ASM	0	American Samoa	ASM	0	American Samoa	ASM	0	American Samoa	American Samoa	ASM	American Samoa		Am. Samoa	AS	American Samoa		U.S.A.		American Samoa		4	5	1	1	65628	575.3	-99	2010	-99	6. Developing region	3. Upper middle income	-99		AS	ASM	16	16	AS	ASM	-99	ASM	ASM	-99	-99	Oceania	Oceania	Polynesia	East Asia & Pacific	14	14	9	3	-99	#731608	#6c3890	#f30311	#3c884b	#e08ac0	#bd04f5	#514dc3	#d3b446	#8d9cdb	#a85afb
1	Admin-0 country	4	Antarctica	ATA	0	2	Indeterminate	Antarctica	ATA	0	Antarctica	ATA	0	Antarctica	ATA	0	Antarctica	Antarctica	ATA	Antarctica		Ant.	AQ				Multiple claims held in abeyance	Antarctica		4	5	1	-99	3802	760.4	-99	-99	-99	6. Developing region	2. High income: nonOECD	-99		AQ	ATA	10	-99	-99	-99	-99	ATA	ATA	-99	-99	Antarctica	Antarctica	Antarctica	Antarctica	10	10	4	-99	1	#50cc00	#362cba	#1e491e	#3f40ea	#9000ff	#c225a7	#e09f5f	#87d9ed	#962e1	#fa1332
3	Admin-0 country	6	France	FR1	1	2	Dependency	French Southern and Antarctic Lands	ATF	0	French Southern and Antarctic Lands	ATF	0	French Southern and Antarctic Lands	ATF	0	Fr. S. Antarctic Lands	French Southern and Antarctic Lands	ATF	Fr. S. and Antarctic Lands		Fr. S.A.L.	TF	Territory of the French Southern and Antarctic Lands		Fr.		French Southern and Antarctic Lands		7	5	9	11	140	16.0	-99	-99	-99	6. Developing region	2. High income: nonOECD	-99		TF	ATF	260	-99	-99	-99	-99	ATF	ATF	-99	-99	Seven seas (open ocean)	Seven seas (open ocean)	Seven seas (open ocean)	Sub-Saharan Africa	22	35	10	2	-99	#457275	#b12437	#becb39	#6cba05	#e40c28	#3806d5	#4abf5e	#5cac31	#6e5e35	#e7f89a
1	Admin-0 country	6	Antigua and Barbuda	ATG	0	2	Sovereign country	Antigua and Barbuda	ATG	0	Antigua and Barbuda	ATG	0	Antigua and Barbuda	ATG	0	Antigua and Barb.	Antigua and Barbuda	ATG	Antigua and Barb.		Ant.B.	AG	Antigua and Barbuda				Antigua and Barbuda		2	2	5	5	85632	1657.0	-99	2011	-99	6. Developing region	3. Upper middle income	-99		AG	ATG	28	28	AG	ATG	-99	ATG	ATG	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	17	19	6	4	1	#f43106	#bd3142	#e471fa	#9de5e0	#efdf1f	#212f3c	#dceb00	#5e5ee	#b7ce6e	#2dd7b4
1	Admin-0 country	2	Australia	AU1	1	2	Country	Australia	AUS	0	Australia	AUS	0	Australia	AUS	0	Australia	Australia	AUS	Australia		Auz.	AU	Commonwealth of Australia				Australia		1	2	2	7	21262641	800200.0	-99	2006	-99	2. Developed region: nonG7	1. High income: OECD	-99		AU	AUS	36	36	AU	AUS	-99	AUS	AUS	-99	-99	Oceania	Oceania	Australia and New Zealand	East Asia & Pacific	9	9	4	-99	1	#e49b47	#7fc372	#2596e7	#9a80a8	#156624	#c6ad44	#328559	#7bbf5e	#58915b	#6458d4
1	Admin-0 country	4	Austria	AUT	0	2	Sovereign country	Austria	AUT	0	Austria	AUT	0	Austria	AUT	0	Austria	Austria	AUT	Austria		Aust.	A	Republic of Austria				Austria		3	1	3	4	8210281	329500.0	-99	2011	-99	2. Developed region: nonG7	1. High income: OECD	-99		AT	AUT	40	40	AT	AUT	-99	AUT	AUT	-99	-99	Europe	Europe	Western Europe	Europe & Central Asia	7	7	5	-99	1	#624d23	#2abc86	#f7f486	#dd7e88	#ff6d1b	#4cd113	#443483	#cd1150	#dc9a78	#d55c62
1	Admin-0 country	5	Azerbaijan	AZE	0	2	Sovereign country	Azerbaijan	AZE	0	Azerbaijan	AZE	0	Azerbaijan	AZE	0	Azerbaijan	Azerbaijan	AZE	Azerbaijan		Aze.	AZ	Republic of Azerbaijan				Azerbaijan		1	6	5	8	8238672	77610.0	-99	2009	-99	6. Developing region	3. Upper middle income	-99		AZ	AZE	31	31	AZ	AZE	-99	AZE	AZE	-99	-99	Asia	Asia	Western Asia	Europe & Central Asia	10	10	4	-99	1	#ef67cc	#5e3615	#aee9d2	#ecf4a4	#897459	#aea675	#b3373f	#236628	#3edb9a	#ad9cfb
1	Admin-0 country	6	Burundi	BDI	0	2	Sovereign country	Burundi	BDI	0	Burundi	BDI	0	Burundi	BDI	0	Burundi	Burundi	BDI	Burundi		Bur.	BI	Republic of Burundi				Burundi		2	2	5	8	8988091	3102.0	-99	2008	-99	7. Least developed region	5. Low income	-99		BI	BDI	108	108	BI	BDI	-99	BDI	BDI	-99	-99	Africa	Africa	Eastern Africa	Sub-Saharan Africa	7	7	4	-99	1	#3ff5bb	#8cda1a	#819901	#c648c	#e6c458	#3dadac	#4e34ae	#1da06f	#c087f2	#e7e86f
1	Admin-0 country	2	Belgium	BEL	0	2	Sovereign country	Belgium	BEL	0	Belgium	BEL	0	Belgium	BEL	0	Belgium	Belgium	BEL	Belgium		Belg.	B	Kingdom of Belgium				Belgium		3	2	1	8	10414336	389300.0	-99	2011	-99	2. Developed region: nonG7	1. High income: OECD	-99		BE	BEL	56	56	BE	BEL	-99	BEL	BEL	-99	-99	Europe	Europe	Western Europe	Europe & Central Asia	7	7	5	-99	1	#59f0af	#f83f46	#7a04a4	#3125f3	#9bb79a	#e734ba	#647a78	#51abb1	#c2dd7b	#dcb3cd
1	Admin-0 country	5	Benin	BEN	0	2	Sovereign country	Benin	BEN	0	Benin	BEN	0	Benin	BEN	0	Benin	Benin	BEN	Benin		Benin	BJ	Republic of Benin				Benin		1	2	2	12	8791832	12830.0	-99	2002	-99	7. Least developed region	5. Low income	-99		BJ	BEN	204	204	BJ	BEN	-99	BEN	BEN	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	5	5	5	-99	1	#ff3ddb	#a4c88f	#a73cd3	#5aa8b6	#5cb106	#87a5d1	#9b6f26	#59a5f7	#3c4e55	#978b61
1	Admin-0 country	3	Burkina Faso	BFA	0	2	Sovereign country	Burkina Faso	BFA	0	Burkina Faso	BFA	0	Burkina Faso	BFA	0	Burkina Faso	Burkina Faso	BFA	Burkina Faso		B.F.	BF	Burkina Faso				Burkina Faso		2	1	5	11	15746232	17820.0	-99	2006	-99	7. Least developed region	5. Low income	-99		BF	BFA	854	854	BF	BFA	-99	BFA	BFA	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	12	12	4	-99	1	#1fd9d2	#c298f9	#76882e	#654317	#381112	#1fb3a	#a4c20d	#3816e4	#3a70ef	#5af89a
1	Admin-0 country	3	Bangladesh	BGD	0	2	Sovereign country	Bangladesh	BGD	0	Bangladesh	BGD	0	Bangladesh	BGD	0	Bangladesh	Bangladesh	BGD	Bangladesh		Bang.	BD	People's Republic of Bangladesh				Bangladesh		3	4	7	7	156050883	224000.0	-99	2011	-99	7. Least developed region	5. Low income	-99		BD	BGD	50	50	BD	BGD	-99	BGD	BGD	-99	-99	Asia	Asia	Southern Asia	South Asia	10	10	5	-99	1	#521cfc	#b79529	#31300e	#9e23f0	#5d06e3	#488698	#8acc4b	#e5a6ef	#35f820	#91a122
1	Admin-0 country	4	Bulgaria	BGR	0	2	Sovereign country	Bulgaria	BGR	0	Bulgaria	BGR	0	Bulgaria	BGR	0	Bulgaria	Bulgaria	BGR	Bulgaria		Bulg.	BG	Republic of Bulgaria				Bulgaria		4	5	1	8	7204687	93750.0	-99	2011	-99	2. Developed region: nonG7	3. Upper middle income	-99		BG	BGR	100	100	BG	BGR	-99	BGR	BGR	-99	-99	Europe	Europe	Eastern Europe	Europe & Central Asia	8	8	5	-99	1	#be3e2b	#c434d5	#ae3a3	#6ae72c	#790ba9	#edb6ff	#1d0ffc	#2c756f	#38d5f7	#e96749
1	Admin-0 country	4	Bahrain	BHR	0	2	Sovereign country	Bahrain	BHR	0	Bahrain	BHR	0	Bahrain	BHR	0	Bahrain	Bahrain	BHR	Bahrain		Bahr.	BH	Kingdom of Bahrain				Bahrain		1	1	1	9	727785	26820.0	-99	2010	-99	6. Developing region	2. High income: nonOECD	-99		BH	BHR	48	48	BH	BHR	-99	BHR	BHR	-99	-99	Asia	Asia	Western Asia	Middle East & North Africa	7	7	5	2	1	#d57ee6	#bc88ce	#c89e20	#1c77e5	#fa3d7e	#118c3c	#f766fe	#b8b864	#de309f	#5bb92c
1	Admin-0 country	4	The Bahamas	BHS	0	2	Sovereign country	The Bahamas	BHS	0	The Bahamas	BHS	0	The Bahamas	BHS	0	Bahamas	Bahamas	BHS	Bahamas		Bhs.	BS	Commonwealth of the Bahamas				Bahamas, The		1	1	2	5	309156	9093.0	-99	2010	-99	6. Developing region	2. High income: nonOECD	-99		BS	BHS	44	44	BS	BHS	-99	BHS	BHS	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	7	7	4	-99	1	#20b4f	#f149c9	#22f4a1	#e37430	#b11f51	#182dec	#6d7858	#a4c1e1	#6c66e3	#1a0370
1	Admin-0 country	5	Bosnia and Herzegovina	BIH	0	2	Sovereign country	Bosnia and Herzegovina	BIH	0	Bosnia and Herzegovina	BIH	0	Bosnia and Herzegovina	BIH	0	Bosnia and Herz.	Bosnia and Herzegovina	BIH	Bosnia and Herz.		B.H.	BiH	Bosnia and Herzegovina				Bosnia and Herzegovina		1	1	1	2	4613414	29700.0	-99	1991	-99	6. Developing region	3. Upper middle income	-99		BA	BIH	70	70	BA	BIH	-99	BIH	BIH	-99	-99	Europe	Europe	Southern Europe	Europe & Central Asia	16	22	4	-99	1	#934d20	#3f9063	#62c112	#3bd46c	#31f459	#675810	#5209fb	#82fe53	#2b42ea	#2013fd
3	Admin-0 country	6	France	FR1	1	2	Dependency	Saint Barthelemy	BLM	0	Saint Barthelemy	BLM	0	Saint Barthelemy	BLM	0	St-Barthélemy	Saint-Barthélemy	BLM	St-Barthélemy		St. B.	BL	Saint-Barthélemy		Fr.		St-Barthélemy		7	5	9	11	7448	255.0	-99	-99	-99	2. Developed region: nonG7	1. High income: OECD	-99		BL	BLM	652	652	-99	-99	-99	BLM	BLM	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	13	16	6	4	-99	#e9872	#1d110	#dde0fe	#db3d97	#d8007c	#b7c472	#a73e64	#533454	#ea5d1e	#6ff1a4
1	Admin-0 country	4	Belarus	BLR	0	2	Sovereign country	Belarus	BLR	0	Belarus	BLR	0	Belarus	BLR	0	Belarus	Belarus	BLR	Belarus		Bela.	BY	Republic of Belarus				Belarus		1	1	5	11	9648533	114100.0	-99	2009	-99	6. Developing region	3. Upper middle income	-99		BY	BLR	112	112	BY	BLR	-99	BLR	BLR	-99	-99	Europe	Europe	Eastern Europe	Europe & Central Asia	7	7	5	-99	1	#718e5f	#5e8fea	#f01966	#264113	#6eec1d	#ed174a	#cab10b	#c08723	#378697	#c402d2
1	Admin-0 country	6	Belize	BLZ	0	2	Sovereign country	Belize	BLZ	0	Belize	BLZ	0	Belize	BLZ	0	Belize	Belize	BLZ	Belize		Belize	BZ	Belize				Belize		1	4	5	7	307899	2536.0	-99	2010	-99	6. Developing region	4. Lower middle income	-99		BZ	BLZ	84	84	BZ	BLZ	-99	BLZ	BLZ	-99	-99	North America	Americas	Central America	Latin America & Caribbean	6	6	6	-99	1	#55e1d5	#1367a8	#d06df2	#236346	#50585a	#a80a9b	#6a4017	#1565e5	#e19429	#b7c64c
3	Admin-0 country	6	United Kingdom	GB1	1	2	Dependency	Bermuda	BMU	0	Bermuda	BMU	0	Bermuda	BMU	0	Bermuda	Bermuda	BMU	Bermuda		Berm.	BM	The Bermudas or Somers Isles		U.K.		Bermuda		6	6	6	3	67837	4500.0	-99	2010	-99	2. Developed region: nonG7	2. High income: nonOECD	-99		BM	BMU	60	60	BM	BMU	-99	BMU	BMU	-99	-99	North America	Americas	Northern America	North America	7	7	5	4	-99	#844257	#78b4ab	#9b2e9c	#e5d30b	#575206	#d4d5e0	#17f0e	#bc2dd0	#c8e5fa	#6ce417
1	Admin-0 country	3	Bolivia	BOL	0	2	Sovereign country	Bolivia	BOL	0	Bolivia	BOL	0	Bolivia	BOL	0	Bolivia	Bolivia	BOL	Bolivia		Bolivia	BO	Plurinational State of Bolivia				Bolivia		1	5	2	3	9775246	43270.0	-99	2001	-99	5. Emerging region: G20	4. Lower middle income	-99		BO	BOL	68	68	BO	BOL	-99	BOL	BOL	-99	-99	South America	Americas	South America	Latin America & Caribbean	7	7	7	-99	1	#2ba9ef	#f5c613	#e153b5	#eafa89	#e9fb9e	#cb1d5b	#be36d6	#c4a130	#aeaf6b	#94de69
1	Admin-0 country	2	Brazil	BRA	0	2	Sovereign country	Brazil	BRA	0	Brazil	BRA	0	Brazil	BRA	0	Brazil	Brazil	BRA	Brazil		Brazil	BR	Federative Republic of Brazil				Brazil		5	6	5	7	198739269	1993000.0	-99	2010	-99	3. Emerging region: BRIC	3. Upper middle income	-99		BR	BRA	76	76	BR	BRA	-99	BRA	BRA	-99	-99	South America	Americas	South America	Latin America & Caribbean	6	6	6	-99	1	#5cde74	#10c276	#24e90e	#840b5e	#1c9510	#b791f1	#cee3f7	#ecfa13	#52a0	#2391bb
1	Admin-0 country	5	Barbados	BRB	0	2	Sovereign country	Barbados	BRB	0	Barbados	BRB	0	Barbados	BRB	0	Barbados	Barbados	BRB	Barbados		Barb.	BB	Barbados				Barbados		4	1	5	3	284589	5425.0	-99	2010	-99	6. Developing region	2. High income: nonOECD	-99		BB	BRB	52	52	BB	BRB	-99	BRB	BRB	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	8	8	5	3	1	#bc4bf5	#4f45b4	#46d66a	#d36fd9	#308723	#e4573e	#ace609	#30325b	#63a8e1	#b9395b
1	Admin-0 country	6	Brunei	BRN	0	2	Sovereign country	Brunei	BRN	0	Brunei	BRN	0	Brunei	BRN	0	Brunei	Brunei Darussalam	BRN	Brunei		Brunei	BN	Negara Brunei Darussalam				Brunei		4	6	6	12	388190	20250.0	-99	2001	-99	6. Developing region	2. High income: nonOECD	-99		BN	BRN	96	96	BN	BRN	-99	BRN	BRN	-99	-99	Asia	Asia	South-Eastern Asia	East Asia & Pacific	6	17	6	2	1	#9d4ed	#c612c	#5d5213	#d92cad	#38e04b	#66290f	#a738df	#1330f4	#6742a0	#2ebb98
1	Admin-0 country	5	Bhutan	BTN	0	2	Sovereign country	Bhutan	BTN	0	Bhutan	BTN	0	Bhutan	BTN	0	Bhutan	Bhutan	BTN	Bhutan		Bhutan	BT	Kingdom of Bhutan				Bhutan		5	6	1	8	691141	3524.0	-99	2005	-99	7. Least developed region	4. Lower middle income	-99		BT	BTN	64	64	BT	BTN	-99	BTN	BTN	-99	-99	Asia	Asia	Southern Asia	South Asia	6	6	6	-99	1	#783d49	#e9360	#2352f0	#3eb05b	#84a009	#3ca108	#aca0f	#ec4f04	#dc7b13	#1051f6
1	Admin-0 country	4	Botswana	BWA	0	2	Sovereign country	Botswana	BWA	0	Botswana	BWA	0	Botswana	BWA	0	Botswana	Botswana	BWA	Botswana		Bwa.	BW	Republic of Botswana				Botswana		6	5	7	3	1990876	27060.0	-99	2011	-99	6. Developing region	3. Upper middle income	-99		BW	BWA	72	72	BW	BWA	-99	BWA	BWA	-99	-99	Africa	Africa	Southern Africa	Sub-Saharan Africa	8	8	4	-99	1	#8a7279	#b5900a	#161798	#f55228	#65d18d	#224676	#ef254	#7af460	#bbc036	#f9a637
1	Admin-0 country	4	Central African Republic	CAF	0	2	Sovereign country	Central African Republic	CAF	0	Central African Republic	CAF	0	Central African Republic	CAF	0	Central African Rep.	Central African Republic	CAF	Central African Rep.		C.A.R.	CF	Central African Republic				Central African Republic		5	6	6	9	4511488	3198.0	-99	2003	-99	7. Least developed region	5. Low income	-99		CF	CAF	140	140	CF	CAF	-99	CAF	CAF	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	20	24	6	-99	1	#50bc98	#54fd75	#d912e1	#636aa1	#30fab6	#1cee9b	#be9541	#34a5a2	#884d5f	#f4ac6e
1	Admin-0 country	2	Canada	CAN	0	2	Sovereign country	Canada	CAN	0	Canada	CAN	0	Canada	CAN	0	Canada	Canada	CAN	Canada		Can.	CA	Canada				Canada		6	6	2	2	33487208	1300000.0	-99	2011	-99	1. Developed region: G7	1. High income: OECD	-99		CA	CAN	124	124	CA	CAN	-99	CAN	CAN	-99	-99	North America	Americas	Northern America	North America	6	6	4	-99	1	#1989ba	#495aa1	#f251f2	#b658bc	#817d4b	#9573d5	#505d64	#846c2b	#3047b5	#27abb7
